Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Zettai Shougeki: Platonic Heart,12506,OVA,5,Oct 2008 - Feb 2009,16805,https://myanimelist.net/anime/5020/Zettai_Shougeki__Platonic_Heart,https://cdn.myanimelist.net/r/100x140/images/anime/12/24959.jpg?s=18d1f1212bf89b33d7ca64b29d9deec4,4.59
Detective Conan Movie 15: Quarter of Silence,590,Movie,1,Apr 2011 - Apr 2011,46452,https://myanimelist.net/anime/9963/Detective_Conan_Movie_15__Quarter_of_Silence,https://cdn.myanimelist.net/r/100x140/images/anime/9/32035.jpg?s=87fab2ff041b633dfc50fe7f8ea1d5bf,8.0
W-Tails Cat: A Strange Presence,11932,ONA,7,May 2013 - Oct 2013,641,https://myanimelist.net/anime/20261/W-Tails_Cat__A_Strange_Presence,https://cdn.myanimelist.net/r/100x140/images/anime/1950/115831.jpg?s=38b413404f11c7e5589127b4f8bd6b33,5.06
Psychic Force,11593,OVA,2,May 1998 - May 1998,2295,https://myanimelist.net/anime/1027/Psychic_Force,https://cdn.myanimelist.net/r/100x140/images/anime/1091/94164.jpg?s=2168c2a53777209aaa15eb5d124c9fc2,5.23
Children,9443,ONA,1,Jun 2011 - Jun 2011,3011,https://myanimelist.net/anime/39290/Children,https://cdn.myanimelist.net/r/100x140/images/anime/1772/99106.jpg?s=73ffe31fc2a717154267dabeb312f01e,5.87
Karakuri Kengou Den Musashi Lord,8066,TV,50,Oct 1990 - Sep 1991,776,https://myanimelist.net/anime/8065/Karakuri_Kengou_Den_Musashi_Lord,https://cdn.myanimelist.net/r/100x140/images/anime/1739/110637.jpg?s=98bce47021f53310aba41888dd2d775d,6.17
Sora no Momotarou,11991,Movie,1,Oct 1931 - Oct 1931,1446,https://myanimelist.net/anime/4390/Sora_no_Momotarou,https://cdn.myanimelist.net/r/100x140/images/anime/1416/110223.jpg?s=7ab9e45053a3056a16d0fce228930424,5.03
Ranma ½: DoCo Music Video,5058,OVA,1,Aug 1995 - Aug 1995,3881,https://myanimelist.net/anime/10824/Ranma_½__DoCo_Music_Video,https://cdn.myanimelist.net/r/100x140/images/anime/10/29887.jpg?s=6033f0e86a44ad602e5d98cc75d14e33,6.76
Break-Age,10263,OVA,1,Sep 1999 - Sep 1999,861,https://myanimelist.net/anime/6447/Break-Age,https://cdn.myanimelist.net/r/100x140/images/anime/3/61153.jpg?s=182ceff8062e4833c91667aa5542818c,5.66
TWD Express Rolling Takeoff,11066,Movie,1,Jul 1987 - Jul 1987,490,https://myanimelist.net/anime/12901/TWD_Express_Rolling_Takeoff,https://cdn.myanimelist.net/r/100x140/images/anime/4/36211.jpg?s=862c8505ecb18d5f7c2cd269934782c1,5.43
Monogatari no Aru Satou,9336,ONA,1,Oct 2017 - Oct 2017,495,https://myanimelist.net/anime/36578/Monogatari_no_Aru_Satou,https://cdn.myanimelist.net/r/100x140/images/anime/3/88406.jpg?s=ff23226cb28380c141a269e301f62aa4,5.9
"Kono Healer, Mendokusai",7176,TV,12,Apr 2022 - Jun 2022,53570,https://myanimelist.net/anime/48742/Kono_Healer_Mendokusai,https://cdn.myanimelist.net/r/100x140/images/anime/1565/121221.jpg?s=4c0cae3b73ed9100d96facf24382da0d,6.35
Kobayashi-san Chi no Maid Dragon S,244,TV,12,Jul 2021 - Sep 2021,522991,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,https://cdn.myanimelist.net/r/100x140/images/anime/1252/115539.jpg?s=dc022b5a31e85e53593cc18470d833c2,8.3
Princess Principal: Crown Handler Movie 2 - Revealing Reviews,6181,Special,1,Mar 2022 - Mar 2022,2986,https://myanimelist.net/anime/50919/Princess_Principal__Crown_Handler_Movie_2_-_Revealing_Reviews,https://cdn.myanimelist.net/r/100x140/images/anime/1608/120710.jpg?s=fc0e5626d95118e4ade81d73fe271a23,6.54
Healer Girl,2417,TV,12,Apr 2022 - Jun 2022,30256,https://myanimelist.net/anime/48857/Healer_Girl,https://cdn.myanimelist.net/r/100x140/images/anime/1727/122415.jpg?s=ec7527861110f244a7551dd712be97fa,7.33
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,1407,Movie,1,May 2021 - May 2021,67364,https://myanimelist.net/anime/38086/Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_2_-_Paladin__Agateram,https://cdn.myanimelist.net/r/100x140/images/anime/1736/114615.jpg?s=117fedc93548cb4d124e5f6c86bf2b4b,7.59
Usavich II,3819,TV,13,Oct 2007 - Jan 2008,4977,https://myanimelist.net/anime/3738/Usavich_II,https://cdn.myanimelist.net/r/100x140/images/anime/5/15661.jpg?s=977b83f82fc7220a89743664f2ccb790,7.04
Mayonaka no Occult Koumuin,5190,TV,12,Apr 2019 - Jun 2019,63703,https://myanimelist.net/anime/37964/Mayonaka_no_Occult_Koumuin,https://cdn.myanimelist.net/r/100x140/images/anime/1859/100448.jpg?s=e1e86d007d279accc34f9bc8e5d03090,6.73
Black Jack: Sora kara Kita Kodomo,5451,OVA,1,Mar 2000 - Mar 2000,3471,https://myanimelist.net/anime/6246/Black_Jack__Sora_kara_Kita_Kodomo,https://cdn.myanimelist.net/r/100x140/images/anime/9/88341.jpg?s=25656024b6bba7045026dc9e16c637df,6.68
Fairy Tail x Rave,3348,OVA,1,Aug 2013 - Aug 2013,122755,https://myanimelist.net/anime/18393/Fairy_Tail_x_Rave,https://cdn.myanimelist.net/r/100x140/images/anime/9/58513.jpg?s=f99d778494728274a5b9f10b69b616a5,7.14
Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,8372,Movie,1,Mar 1982 - Mar 1982,1585,https://myanimelist.net/anime/3757/Sekai_Meisaku_Douwa__Aladdin_to_Mahou_no_Lamp,https://cdn.myanimelist.net/r/100x140/images/anime/8/36927.jpg?s=e4e4b0153f66227e205d766faa668c57,6.11
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,2271,Special,1,Apr 1999 - Apr 1999,5923,https://myanimelist.net/anime/1479/City_Hunter__Kinkyuu_Namachuukei_Kyouakuhan_Saeba_Ryou_no_Saigo,https://cdn.myanimelist.net/r/100x140/images/anime/1920/92378.jpg?s=4e05214a3c384e85246dc029a2ea9581,7.36
Hakuouki Movie 2: Shikon Soukyuu,1146,Movie,1,Mar 2014 - Mar 2014,21655,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu,https://cdn.myanimelist.net/r/100x140/images/anime/12/71796.jpg?s=1141b3a9e57c286936f0238ac041638f,7.7
BlazBlue: Alter Memory Specials,8848,Special,6,Dec 2013 - May 2014,3683,https://myanimelist.net/anime/32502/BlazBlue__Alter_Memory_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/4/78024.jpg?s=93791cb52c4b4d679cab5ff7fb519c1a,6.0
"Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji wo Sugita Cinderella",6171,OVA,1,Jul 2018 - Jul 2018,107786,https://myanimelist.net/anime/37377/Masamune-kun_no_Revenge__Uchi_no_Mama_ni_Kagitte_Tsunade_Shima_Futatabi_12-Ji_wo_Sugita_Cinderella,https://cdn.myanimelist.net/r/100x140/images/anime/1439/123818.jpg?s=89c16e9e9377168313467b665a3a3b51,6.54
Monkey Turn V,4491,TV,25,Jul 2004 - Dec 2004,922,https://myanimelist.net/anime/2741/Monkey_Turn_V,https://cdn.myanimelist.net/r/100x140/images/anime/4/75224.jpg?s=d437fcc6ba0d01da3cdf71965561a41b,6.88
One Punch Man Specials,1155,Special,6,Dec 2015 - May 2016,308644,https://myanimelist.net/anime/31772/One_Punch_Man_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/1452/97840.jpg?s=1c32bc030c8695fc3b86dccc9f228bec,7.7
Boku no Hero Academia,743,TV,13,Apr 2016 - Jun 2016,2893115,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,https://cdn.myanimelist.net/r/100x140/images/anime/10/78745.jpg?s=320277bb7d691feebd417bc74068f886,7.89
Mirai Nikki: Redial,2523,OVA,1,Jun 2013 - Jun 2013,346771,https://myanimelist.net/anime/16762/Mirai_Nikki__Redial,https://cdn.myanimelist.net/r/100x140/images/anime/1715/103523.jpg?s=8905650aa6d06523fa5c586261ff6e05,7.3
