Title,Rank,Type,Episodes,Aired,Members,Page_url,image_url,Score
Hiatari Ryoukou!,4044,TV,48,Mar 1987 - Mar 1988,5152,https://myanimelist.net/anime/729/Hiatari_Ryoukou,https://cdn.myanimelist.net/r/100x140/images/anime/12/29624.jpg?s=26d2643f50b9d7f201cc48bbecdcd01a,7.0
Vampire in the Garden,3469,ONA,5,May 2022 - May 2022,64477,https://myanimelist.net/anime/39518/Vampire_in_the_Garden,https://cdn.myanimelist.net/r/100x140/images/anime/1055/121956.jpg?s=201ef1bfbb5faddf65aba9d842e1d348,7.12
Tenkuu no Shiro Laputa,278,Movie,1,Aug 1986 - Aug 1986,462122,https://myanimelist.net/anime/513/Tenkuu_no_Shiro_Laputa,https://cdn.myanimelist.net/r/100x140/images/anime/5/37799.jpg?s=04c74ef654dbe70f4736a386f9ca67ad,8.26
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,4255,Special,6,Feb 2011 - Mar 2011,13310,https://myanimelist.net/anime/31298/Baka_to_Test_to_Shoukanjuu__Matsuri_-_Sentakushi_Ikou_nomi,https://cdn.myanimelist.net/r/100x140/images/anime/11/75276.jpg?s=8e25ddc32437d8dad2bfdfa50009a9cf,6.94
Saint Beast: Kouin Jojishi Tenshi Tan,7505,TV,13,Apr 2007 - Jun 2007,6750,https://myanimelist.net/anime/2153/Saint_Beast__Kouin_Jojishi_Tenshi_Tan,https://cdn.myanimelist.net/r/100x140/images/anime/2/75557.jpg?s=183cfa3c73e3a180073235e81b295e3f,6.29
Bokura no Yoake,8849,Movie,1,Oct 2022 - Oct 2022,5727,https://myanimelist.net/anime/51307/Bokura_no_Yoake,https://cdn.myanimelist.net/r/100x140/images/anime/1411/127593.jpg?s=afaa4da69e60e079810aa0b4c71daba6,6.0
Imokawa Mukuzo: Genkanban no Maki,11432,Movie,1,Jan 1917 -,1019,https://myanimelist.net/anime/17387/Imokawa_Mukuzo__Genkanban_no_Maki,https://cdn.myanimelist.net/r/100x140/images/qm_50.gif?s=d4a014bf57649e73109c9fadc7c9c180,5.3
Romeo no Aoi Sora,218,TV,33,Jan 1995 - Dec 1995,48072,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora,https://cdn.myanimelist.net/r/100x140/images/anime/4/17979.jpg?s=a3db154d8fcdcba36b6bfd1d380d3466,8.33
Ano Hi no Kokoro wo Toraete,9621,ONA,1,Oct 2019 - Oct 2019,2137,https://myanimelist.net/anime/40517/Ano_Hi_no_Kokoro_wo_Toraete,https://cdn.myanimelist.net/r/100x140/images/anime/1820/106104.jpg?s=68bc8028e73eff975b0cef5024b3a2c7,5.83
Hokuro Kyoudai Full Throttle!!!!,12370,ONA,7,May 2007 - May 2007,433,https://myanimelist.net/anime/5207/Hokuro_Kyoudai_Full_Throttle,https://cdn.myanimelist.net/r/100x140/images/anime/11/29236.jpg?s=3ed4324d83445f881cd132c0860ec502,4.73
Aratanari Fukaki Ao,8826,ONA,10,Oct 2012 - Dec 2012,5290,https://myanimelist.net/anime/15979/Aratanari_Fukaki_Ao,https://cdn.myanimelist.net/r/100x140/images/anime/7/43495.jpg?s=b6b8d1f63ecee55e864e96d317b7b756,6.01
Jungle wa Itsumo Hare nochi Guu Final,1373,OVA,7,Dec 2003 - Jun 2004,9909,https://myanimelist.net/anime/255/Jungle_wa_Itsumo_Hare_nochi_Guu_Final,https://cdn.myanimelist.net/r/100x140/images/anime/6/14520.jpg?s=ed76f3288450ccd5ea8875e540769271,7.61
Bobobo-bo Bo-bobo,1791,TV,76,Nov 2003 - Oct 2005,90637,https://myanimelist.net/anime/1050/Bobobo-bo_Bo-bobo,https://cdn.myanimelist.net/r/100x140/images/anime/6/44540.jpg?s=802f659f30253c74525c5863852e897c,7.48
Chain Chronicle x Mitsubishi Tokyo UFJ-VISA Debit,11387,ONA,3,Feb 2017 - Apr 2017,375,https://myanimelist.net/anime/52944/Chain_Chronicle_x_Mitsubishi_Tokyo_UFJ-VISA_Debit,https://cdn.myanimelist.net/r/100x140/images/anime/1252/127580.jpg?s=2ecb265adc5f0ce7a1aad3c8ef5ea9c1,5.32
Mo Dao Zu Shi,156,ONA,15,Jul 2018 - Oct 2018,218868,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,https://cdn.myanimelist.net/r/100x140/images/anime/1253/93893.jpg?s=f4dd9cbf38361ab84e7d500b32ec8de4,8.43
Final Fantasy VII: Last Order,2554,Special,1,Sep 2005 - Sep 2005,65203,https://myanimelist.net/anime/408/Final_Fantasy_VII__Last_Order,https://cdn.myanimelist.net/r/100x140/images/anime/7/80623.jpg?s=7ed6d4cc543f9191055bad40ef5c42de,7.3
The Adventures of Hello Kitty & Friends,9554,TV,52,Feb 2008 - 2009,915,https://myanimelist.net/anime/23915/The_Adventures_of_Hello_Kitty___Friends,https://cdn.myanimelist.net/r/100x140/images/anime/13/62053.jpg?s=cc71d7db83b1d5a8e4020690e5f812c6,5.85
"Tokyo Ghoul: ""Pinto""",3067,OVA,1,Dec 2015 - Dec 2015,208598,https://myanimelist.net/anime/31297/Tokyo_Ghoul__Pinto,https://cdn.myanimelist.net/r/100x140/images/anime/3/78666.jpg?s=7cffa24f97779b752239ddf3e8ce9ef4,7.2
Ginga Hyouryuu Vifam: Kieta 12-nin,8288,OVA,1,Feb 1985 - Feb 1985,739,https://myanimelist.net/anime/9389/Ginga_Hyouryuu_Vifam__Kieta_12-nin,https://cdn.myanimelist.net/r/100x140/images/anime/11/59747.jpg?s=ec1259c26cd04a4f4a26aac2d4b0bdaf,6.12
Dr. Slump: Arale-chan,3185,TV,243,Apr 1981 - Feb 1986,15101,https://myanimelist.net/anime/2222/Dr_Slump__Arale-chan,https://cdn.myanimelist.net/r/100x140/images/anime/9/38381.jpg?s=9e48c737a42e334f34950ac53d3b388a,7.18
Mahou Shoujo Lyrical Nanoha ViVid,5167,TV,12,Apr 2015 - Jun 2015,25620,https://myanimelist.net/anime/25939/Mahou_Shoujo_Lyrical_Nanoha_ViVid,https://cdn.myanimelist.net/r/100x140/images/anime/9/72718.jpg?s=1a0a6109d626970e748f782abf9ad289,6.74
Fuse: Teppou Musume no Torimonochou,2489,Movie,1,Oct 2012 - Oct 2012,33171,https://myanimelist.net/anime/13335/Fuse__Teppou_Musume_no_Torimonochou,https://cdn.myanimelist.net/r/100x140/images/anime/3/37313.jpg?s=d06af0b8683374568d21e57450253003,7.31
Kennel Tokorozawa,12732,OVA,1,Feb 1992 - Feb 1992,3113,https://myanimelist.net/anime/13715/Kennel_Tokorozawa,https://cdn.myanimelist.net/r/100x140/images/anime/8/38063.jpg?s=ccc3691a169326f9fa59d685aaa3f462,3.62
Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,4385,Movie,1,Jul 1978 - Jul 1978,5488,https://myanimelist.net/anime/2470/Uchuu_Kaizoku_Captain_Herlock__Arcadia-gou_no_Nazo,https://cdn.myanimelist.net/r/100x140/images/anime/5/56071.jpg?s=7e97ffbfdb8ddcf418507e25f59d198c,6.91
Yoru wa Mijikashi Arukeyo Otome,373,Movie,1,Apr 2017 - Apr 2017,119339,https://myanimelist.net/anime/34537/Yoru_wa_Mijikashi_Arukeyo_Otome,https://cdn.myanimelist.net/r/100x140/images/anime/2/86940.jpg?s=d3cb5a322359c70d6797a6870eb7a2ee,8.18
Prayers,11364,OVA,2,Aug 2005 - Nov 2005,1460,https://myanimelist.net/anime/2455/Prayers,https://cdn.myanimelist.net/r/100x140/images/anime/6/2894.jpg?s=425726a4db63c3183cfc54d44b0aa38e,5.33
Yojouhan Shinwa Taikei Specials,7376,Special,3,Aug 2010 - Nov 2010,26479,https://myanimelist.net/anime/8985/Yojouhan_Shinwa_Taikei_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/1065/91991.jpg?s=b7911b1a68d8f11894fabe1c836c4a0d,6.31
Lie Huo Jiao Chou,3712,ONA,12,Oct 2021 - Dec 2021,7397,https://myanimelist.net/anime/44064/Lie_Huo_Jiao_Chou,https://cdn.myanimelist.net/r/100x140/images/anime/1042/119432.jpg?s=b3362dabb1d3e8f0cf9ea8c82598e742,7.06
My Home,10578,ONA,1,Feb 2009 - Feb 2009,442,https://myanimelist.net/anime/33537/My_Home,https://cdn.myanimelist.net/r/100x140/images/anime/12/80669.jpg?s=e1c54843a170bfa66b7f2977c26fe119,5.58
Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,5118,Movie,1,Mar 1976 - Mar 1976,1948,https://myanimelist.net/anime/3752/Nagagutsu_wo_Haita_Neko__80_Nichikan_Sekai_Isshuu,https://cdn.myanimelist.net/r/100x140/images/anime/6/61463.jpg?s=a78324ad9ef349f5086b628735336e75,6.75
Choboraunyopomi Gekijou Ai Mai Mii,9679,TV,13,Jan 2013 - Mar 2013,29867,https://myanimelist.net/anime/16169/Choboraunyopomi_Gekijou_Ai_Mai_Mii,https://cdn.myanimelist.net/r/100x140/images/anime/7/45306.jpg?s=5b90c50e91a0e49ea2a3a7e2052898ab,5.81
Steady x Study,11969,OVA,1,May 2004 - May 2004,936,https://myanimelist.net/anime/3497/Steady_x_Study,https://cdn.myanimelist.net/r/100x140/images/anime/1205/121712.jpg?s=0c4fbd7718ab5e467d50652f0f0bc43b,5.04
Fake,6416,OVA,1,Apr 1998 - Apr 1998,20793,https://myanimelist.net/anime/365/Fake,https://cdn.myanimelist.net/r/100x140/images/anime/4/25196.jpg?s=9938fa63115854ee9b178d1804990f51,6.5
Dororon Enma-kun,8190,TV,25,Oct 1973 - Mar 1974,3988,https://myanimelist.net/anime/1337/Dororon_Enma-kun,https://cdn.myanimelist.net/r/100x140/images/anime/9/28204.jpg?s=d789770dee433b27b3b712814e6671b5,6.14
Romeo no Aoi Sora Specials,7924,Special,2,2001 - 2001,949,https://myanimelist.net/anime/23581/Romeo_no_Aoi_Sora_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/13/60941.jpg?s=149cb4a14c594655e9c69f05852ca890,6.2
Monster Farm: Legend e no Michi,5193,TV,25,Apr 2000 - Sep 2000,17149,https://myanimelist.net/anime/13201/Monster_Farm__Legend_e_no_Michi,https://cdn.myanimelist.net/r/100x140/images/anime/8/48023.jpg?s=c926205f0adc63a378856b78e30240e7,6.73
Itsuka Tenma no Kuro Usagi,6308,TV,12,Jul 2011 - Sep 2011,130312,https://myanimelist.net/anime/9750/Itsuka_Tenma_no_Kuro_Usagi,https://cdn.myanimelist.net/r/100x140/images/anime/5/75197.jpg?s=d6ef70398cb0dd08d4440d953c9b34d6,6.52
"Sentouin, Hakenshimasu!",3295,TV,12,Apr 2021 - Jun 2021,352363,https://myanimelist.net/anime/41456/Sentouin_Hakenshimasu,https://cdn.myanimelist.net/r/100x140/images/anime/1444/115118.jpg?s=218033fc0e2a085d2d7d169db0a620c1,7.16
Kaiketsu Jouki Tanteidan,5771,TV,26,Oct 1998 - Mar 1999,4707,https://myanimelist.net/anime/2704/Kaiketsu_Jouki_Tanteidan,https://cdn.myanimelist.net/r/100x140/images/anime/5/20557.jpg?s=4344b2883b514cd7fce081d275d648e4,6.62
Yurumates 3D,7470,TV,13,Apr 2012 - Jun 2012,8251,https://myanimelist.net/anime/12123/Yurumates_3D,https://cdn.myanimelist.net/r/100x140/images/anime/3/36705.jpg?s=99807d48495011a6c9b3044c71744df2,6.29
Stitch! Itazura Alien no Daibouken,8460,TV,29,Oct 2009 - Jun 2010,2430,https://myanimelist.net/anime/6899/Stitch_Itazura_Alien_no_Daibouken,https://cdn.myanimelist.net/r/100x140/images/anime/1995/100544.jpg?s=90ff137505f6b5637a93970306593038,6.09
"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",11806,ONA,1,2005 - 2005,579,https://myanimelist.net/anime/7423/The_Tales_of_Rien_Village_1__Toilet_ni_Ittokiya,https://cdn.myanimelist.net/r/100x140/images/anime/13/17755.jpg?s=773f28cc6ceac800bb2741c0da13cbc3,5.13
Hashiri Tsuzukete Yokatta tte.,7017,TV,4,Oct 2018 - Oct 2018,12155,https://myanimelist.net/anime/38254/Hashiri_Tsuzukete_Yokatta_tte,https://cdn.myanimelist.net/r/100x140/images/anime/1533/94555.jpg?s=d8f5e69af2eb2ba6151ecdbea1f815eb,6.38
Xian Wang de Richang Shenghuo 3,2475,ONA,12,Sep 2022 - Dec 2022,72915,https://myanimelist.net/anime/50404/Xian_Wang_de_Richang_Shenghuo_3,https://cdn.myanimelist.net/r/100x140/images/anime/1114/119526.jpg?s=e15c0588f3675881bb4133aa1f93debc,7.31
Digimon Tamers,1317,TV,51,Apr 2001 - Mar 2002,192513,https://myanimelist.net/anime/874/Digimon_Tamers,https://cdn.myanimelist.net/r/100x140/images/anime/7/73696.jpg?s=01fc81fd6091febe18c4692f889081ef,7.63
Pokemon: Pikachu no Natsuyasumi,4838,Movie,1,Jul 1998 - Jul 1998,34629,https://myanimelist.net/anime/5526/Pokemon__Pikachu_no_Natsuyasumi,https://cdn.myanimelist.net/r/100x140/images/anime/1927/97383.jpg?s=845ba4aa3b6f9958c91c8ef5e94ed914,6.81
I★Chu: Halfway Through the Idol,6068,TV,12,Jan 2021 - Mar 2021,16050,https://myanimelist.net/anime/39725/I★Chu__Halfway_Through_the_Idol,https://cdn.myanimelist.net/r/100x140/images/anime/1212/113946.jpg?s=ad18a3200f8018e5a728f226f01fc8c4,6.56
Tsuruhime Ja!,9904,TV,49,Jan 1990 - Dec 1990,560,https://myanimelist.net/anime/9175/Tsuruhime_Ja,https://cdn.myanimelist.net/r/100x140/images/anime/8/72389.jpg?s=48090de556101cc49d4e897d32d188bc,5.75
Dotto Koni-chan,2340,TV,26,Nov 2000 - May 2001,4469,https://myanimelist.net/anime/1684/Dotto_Koni-chan,https://cdn.myanimelist.net/r/100x140/images/anime/1910/106998.jpg?s=cffc632905bdc1909582e95ee6cc613d,7.34
Senran Kagura Shinovi Master: Tokyo Youma-hen,7448,TV,12,Oct 2018 - Dec 2018,42501,https://myanimelist.net/anime/36037/Senran_Kagura_Shinovi_Master__Tokyo_Youma-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1022/124269.jpg?s=69af936f1f0e94f11156406d3432fc57,6.3
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,TV,13,Apr 2015 - Jun 2015,1469755,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,https://cdn.myanimelist.net/r/100x140/images/anime/2/70187.jpg?s=6c78ffe25a6d38248c3b16d78d757a05,7.55
Gondora,12690,Movie,1,Dec 1997 - Dec 1997,2680,https://myanimelist.net/anime/23877/Gondora,https://cdn.myanimelist.net/r/100x140/images/anime/6/61765.jpg?s=8272f7bbc673ccd714a87bd307f7e134,4.07
New Initial D Movie: Legend 3 - Mugen,830,Movie,1,Feb 2016 - Feb 2016,25881,https://myanimelist.net/anime/30952/New_Initial_D_Movie__Legend_3_-_Mugen,https://cdn.myanimelist.net/r/100x140/images/anime/9/76759.jpg?s=8de6d868ec4aa42eec5dce1189472f07,7.85
Saikyou Onmyouji Mini,10373,ONA,18,Dec 2022 - Mar 2023,512,https://myanimelist.net/anime/54683/Saikyou_Onmyouji_Mini,https://cdn.myanimelist.net/r/100x140/images/anime/1266/134048.jpg?s=66be5ab7efd798eda507cb1cb441f72f,5.64
Tosca,11022,Movie,1,2010 - 2010,264,https://myanimelist.net/anime/48969/Tosca,https://cdn.myanimelist.net/r/100x140/images/anime/1986/114933.jpg?s=802d3cee7346858197d506a7b4ba586d,5.44
Panty & Stocking with Garterbelt,1093,TV,13,Oct 2010 - Dec 2010,377624,https://myanimelist.net/anime/8795/Panty___Stocking_with_Garterbelt,https://cdn.myanimelist.net/r/100x140/images/anime/12/73643.jpg?s=5fc1d78636858948a4942fcab7367c01,7.72
Uchuu Senkan Yamato (Movie),5505,Movie,1,Aug 1977 - Aug 1977,5232,https://myanimelist.net/anime/711/Uchuu_Senkan_Yamato_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/11/83048.jpg?s=a603dd81ad3298aabb9869d9ab80487b,6.67
Bungou Stray Dogs,877,TV,12,Apr 2016 - Jun 2016,1307994,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs,https://cdn.myanimelist.net/r/100x140/images/anime/3/79409.jpg?s=e8b9b5aa68ac9dc048502e21fc246554,7.82
Valkyrie Drive: Mermaid,8626,TV,12,Oct 2015 - Dec 2015,137066,https://myanimelist.net/anime/30385/Valkyrie_Drive__Mermaid,https://cdn.myanimelist.net/r/100x140/images/anime/13/75528.jpg?s=4e6ae04882cf51be3fcbbdfd9bddee17,6.05
Soccer Fever,7955,TV,51,Apr 1994 - Mar 1995,750,https://myanimelist.net/anime/10774/Soccer_Fever,https://cdn.myanimelist.net/r/100x140/images/anime/7/29720.jpg?s=e0dfa928cb7996de1d787d167f7b1d0a,6.19
Sword Art Online: Alicization - War of Underworld,1426,TV,12,Oct 2019 - Dec 2019,719647,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld,https://cdn.myanimelist.net/r/100x140/images/anime/1630/103417.jpg?s=16893becab237f36a5f6f0c83db8c7d3,7.58
Memories,1126,Movie,3,Dec 1995 - Dec 1995,124649,https://myanimelist.net/anime/1462/Memories,https://cdn.myanimelist.net/r/100x140/images/anime/9/74781.jpg?s=e5927d172e9cc4425e02485dee9231f2,7.71
Kenzen Robo Daimidaler,8221,TV,12,Apr 2014 - Jun 2014,68596,https://myanimelist.net/anime/21809/Kenzen_Robo_Daimidaler,https://cdn.myanimelist.net/r/100x140/images/anime/2/61435.jpg?s=90a9199efe1e531bbcf0e8c1cc3b98b5,6.13
Ou Dorobou Jing in Seventh Heaven,2812,OVA,3,Jan 2004 - Apr 2004,12900,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven,https://cdn.myanimelist.net/r/100x140/images/anime/5/30325.jpg?s=62a2fab596a3c13103abeacafa9b2373,7.25
Atama wa Tsukaiyou. Card mo Tsukaiyou.,11531,Special,1,Sep 2014 - Sep 2014,632,https://myanimelist.net/anime/29141/Atama_wa_Tsukaiyou_Card_mo_Tsukaiyou,https://cdn.myanimelist.net/r/100x140/images/anime/11/70487.jpg?s=a335a6465e0dd5c01c0a2f3736c4c762,5.26
Seikai no Senki Special,3294,Special,1,Jul 2001 - Jul 2001,3350,https://myanimelist.net/anime/399/Seikai_no_Senki_Special,https://cdn.myanimelist.net/r/100x140/images/anime/3/2754.jpg?s=86dbfec94a4010a1121b7a5aee3cabfd,7.16
Giniro no Olynsis: Tokito,7905,TV,12,Oct 2006 - Dec 2006,8141,https://myanimelist.net/anime/1868/Giniro_no_Olynsis__Tokito,https://cdn.myanimelist.net/r/100x140/images/anime/13/23608.jpg?s=ff3a1d37387740ae2fb36c82adf0c40a,6.2
Transformers Superlink,8396,TV,51,Jan 2004 - Dec 2004,5575,https://myanimelist.net/anime/927/Transformers_Superlink,https://cdn.myanimelist.net/r/100x140/images/anime/11/73878.jpg?s=0e7b04fe4ea8860178d39693f06ef2ac,6.1
Detective Conan Movie 08: Time Travel of the Silver Sky,905,Special,1,Apr 2004 - Apr 2004,20981,https://myanimelist.net/anime/7304/Detective_Conan_Movie_08__Time_Travel_of_the_Silver_Sky,https://cdn.myanimelist.net/r/100x140/images/anime/2/17583.jpg?s=31f4869a0e32eedfee71de9df0a4e469,7.81
Memories Off,9833,OVA,3,Nov 2001 - Mar 2002,6488,https://myanimelist.net/anime/361/Memories_Off,https://cdn.myanimelist.net/r/100x140/images/anime/1497/127514.jpg?s=23bc525e31006381fd01a445e81c05ad,5.77
Phantasy Star Online 2: Episode Oracle - Xiao's Report,10057,Special,1,Dec 2019 - Dec 2019,2174,https://myanimelist.net/anime/40948/Phantasy_Star_Online_2__Episode_Oracle_-_Xiaos_Report,https://cdn.myanimelist.net/r/100x140/images/anime/1649/105374.jpg?s=b6ff34c5909b633e075bd8e28f4f5e1b,5.72
Inou-Battle wa Nichijou-kei no Naka de,3761,TV,12,Oct 2014 - Dec 2014,412128,https://myanimelist.net/anime/25159/Inou-Battle_wa_Nichijou-kei_no_Naka_de,https://cdn.myanimelist.net/r/100x140/images/anime/8/67047.jpg?s=18eee06f4a6c978cae28b99a4d09f6a3,7.06
Dorami & Doraemons: Robot School's Seven Mysteries,5854,Movie,1,Mar 1996 - Mar 1996,1795,https://myanimelist.net/anime/2646/Dorami___Doraemons__Robot_Schools_Seven_Mysteries,https://cdn.myanimelist.net/r/100x140/images/anime/1257/134133.jpg?s=bfffac5727b433ea3d397933eb626576,6.6
Megaton-kyuu Musashi 2nd Season,6966,TV,15,Oct 2022 - Mar 2023,3547,https://myanimelist.net/anime/50559/Megaton-kyuu_Musashi_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1207/127832.jpg?s=1953543acd5403f4277d5cd6e9fea6b1,6.39
Midara na Ao-chan wa Benkyou ga Dekinai,5263,TV,12,Apr 2019 - Jun 2019,263904,https://myanimelist.net/anime/38778/Midara_na_Ao-chan_wa_Benkyou_ga_Dekinai,https://cdn.myanimelist.net/r/100x140/images/anime/1718/98214.jpg?s=a3c40f8dfa6313595feefeb371278450,6.72
"Watashitachi, Luck Logic-bu!",11157,TV,12,Jan 2016 - Mar 2016,4857,https://myanimelist.net/anime/32084/Watashitachi_Luck_Logic-bu,https://cdn.myanimelist.net/r/100x140/images/anime/7/77128.jpg?s=e13a5652be899b232d1bb3ea44386a31,5.4
Kumo no Mori no Marcus,11099,ONA,1,Nov 2017 - Nov 2017,284,https://myanimelist.net/anime/41293/Kumo_no_Mori_no_Marcus,https://cdn.myanimelist.net/r/100x140/images/anime/1937/106072.jpg?s=20d3fd4091f1cf37005698b209a0dbb6,5.42
Jinzou Konchuu Kabutoborg VxV,9189,TV,52,Oct 2006 - Oct 2007,854,https://myanimelist.net/anime/17291/Jinzou_Konchuu_Kabutoborg_VxV,https://cdn.myanimelist.net/r/100x140/images/anime/1980/133532.jpg?s=7865ad8db25d517cd13cdcd1b711cdff,5.93
Sword Art Online,3064,TV,25,Jul 2012 - Dec 2012,2960858,https://myanimelist.net/anime/11757/Sword_Art_Online,https://cdn.myanimelist.net/r/100x140/images/anime/11/39717.jpg?s=f71a35f920a0051cd4a4a0ffb264f5c4,7.2
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,718,OVA,1,Feb 2013 - Feb 2013,21298,https://myanimelist.net/anime/16395/SKET_Dance__Imouto_no_Nayami_ni_Nayamu_Ani_ni_Nayamu_Imouto_to_Sono_Nakama-tachi,https://cdn.myanimelist.net/r/100x140/images/anime/1703/97779.jpg?s=ff948c5b3cf4e69de7ca30347567e5ae,7.91
Ensemble Stars!,4209,TV,24,Jul 2019 - Dec 2019,46155,https://myanimelist.net/anime/32212/Ensemble_Stars,https://cdn.myanimelist.net/r/100x140/images/anime/1804/107203.jpg?s=fb401bed73a991394b2008562589b50c,6.95
IS: Infinite Stratos,5713,TV,12,Jan 2011 - Apr 2011,623124,https://myanimelist.net/anime/9041/IS__Infinite_Stratos,https://cdn.myanimelist.net/r/100x140/images/anime/3/74045.jpg?s=5fcb573d689b2176dc498f771c58eb66,6.63
Galaxy Angel 3,2556,TV,26,Oct 2002 - Mar 2003,9498,https://myanimelist.net/anime/653/Galaxy_Angel_3,https://cdn.myanimelist.net/r/100x140/images/anime/8/2757.jpg?s=34c92bdfd4eae107f0f44f6115405c97,7.3
Kyoufu! Zombie Neko,10117,TV,52,Oct 2015 - Sep 2016,1304,https://myanimelist.net/anime/31539/Kyoufu_Zombie_Neko,https://cdn.myanimelist.net/r/100x140/images/anime/13/76568.jpg?s=5e1b7eb7b2c90018824f048733858bdf,5.7
Kidou Senshi SD Gundam Mk-I,7912,Special,3,Mar 1988 - May 1988,4645,https://myanimelist.net/anime/2302/Kidou_Senshi_SD_Gundam_Mk-I,https://cdn.myanimelist.net/r/100x140/images/anime/3/51035.jpg?s=b07c0ccfd328e2449e89146c35a097fb,6.2
Ginga Tetsudou Monogatari,3757,TV,26,Oct 2003 - Apr 2004,12044,https://myanimelist.net/anime/1490/Ginga_Tetsudou_Monogatari,https://cdn.myanimelist.net/r/100x140/images/anime/6/39821.jpg?s=aeafd78dbbb6468b7ab1f1e0e6277abb,7.06
Usavich,4573,TV,13,2006 - 2007,6764,https://myanimelist.net/anime/3737/Usavich,https://cdn.myanimelist.net/r/100x140/images/anime/4/15660.jpg?s=0db2fb5493b56e49ccffbd3f70e9f9fe,6.87
Taka no Tsume: Tokyo Comic Con 2017 no Ouen-dan ni Shuunin Kettei!,12029,ONA,1,Jul 2017 - Jul 2017,390,https://myanimelist.net/anime/36132/Taka_no_Tsume__Tokyo_Comic_Con_2017_no_Ouen-dan_ni_Shuunin_Kettei,https://cdn.myanimelist.net/r/100x140/images/anime/9/87301.jpg?s=ccce1e9835f9d961b7648301203feeb1,5.01
Kakkou no Iikagen,10045,ONA,22,Apr 2022 - Sep 2022,1860,https://myanimelist.net/anime/51738/Kakkou_no_Iikagen,https://cdn.myanimelist.net/r/100x140/images/anime/1467/123465.jpg?s=2b80e7db3ac141043eaa0d2f0f5f92cf,5.72
Aoi Umi no Tristia,10557,OVA,2,Apr 2004 - Jul 2004,3750,https://myanimelist.net/anime/1586/Aoi_Umi_no_Tristia,https://cdn.myanimelist.net/r/100x140/images/anime/2/18760.jpg?s=7e5bf56eca53145bbd05aa7e03b49b0d,5.58
No Game No Life,482,TV,12,Apr 2014 - Jun 2014,2312862,https://myanimelist.net/anime/19815/No_Game_No_Life,https://cdn.myanimelist.net/r/100x140/images/anime/1074/111944.jpg?s=a6e85c572e09c1ad6398d7d9db5d7db8,8.08
Yes! Precure 5,3070,TV,49,Feb 2007 - Jan 2008,16645,https://myanimelist.net/anime/1932/Yes_Precure_5,https://cdn.myanimelist.net/r/100x140/images/anime/4/7535.jpg?s=fd44a43a06ff72daaab3783361b08e40,7.2
Revisions,8796,TV,12,Jan 2019 - Mar 2019,63049,https://myanimelist.net/anime/37436/Revisions,https://cdn.myanimelist.net/r/100x140/images/anime/1215/111381.jpg?s=9037e3436fd1e82fbfb09c5ecec16fe2,6.02
Battle Spirits: Kakumei no Galette,7237,ONA,5,Aug 2020 - Apr 2021,1213,https://myanimelist.net/anime/41137/Battle_Spirits__Kakumei_no_Galette,https://cdn.myanimelist.net/r/100x140/images/anime/1999/111804.jpg?s=eb7dd6e281671bc332d7fe6defc5b86f,6.33
Otogizoushi,4355,TV,26,Jul 2004 - Mar 2005,17492,https://myanimelist.net/anime/525/Otogizoushi,https://cdn.myanimelist.net/r/100x140/images/anime/9/16736.jpg?s=7765c73ac9bd07ea8ab7b42b92c34fff,6.92
"Zone of the Enders: Dolores, I",4325,TV,26,Apr 2001 - Sep 2001,11914,https://myanimelist.net/anime/1249/Zone_of_the_Enders__Dolores_I,https://cdn.myanimelist.net/r/100x140/images/anime/1099/91067.jpg?s=458799a8cabe742fe3ba40bac65a3803,6.92
Nobunaga-sensei no Osanazuma,11408,TV,12,Apr 2019 - Jun 2019,80211,https://myanimelist.net/anime/38814/Nobunaga-sensei_no_Osanazuma,https://cdn.myanimelist.net/r/100x140/images/anime/1524/97286.jpg?s=06fff8f2ab84c5416ca199b95d2522a3,5.31
Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack,10143,Special,1,Jul 1981 - Jul 1981,903,https://myanimelist.net/anime/30453/Dr_Slump__Arale-chan_Ayaya_Penguin_Mura_de_TV_Jack,https://cdn.myanimelist.net/r/100x140/images/anime/10/72862.jpg?s=b07e01438c2e15a842dc12b3d3be3f54,5.69
